Image,Total_Boxes,Retained_Boxes,Average_Confidence
tr_img_06224,1,1,0.7734
tr_img_06225,3,3,0.7458
tr_img_06226,2,2,0.9774
tr_img_06227,13,13,0.9163
tr_img_06228,17,17,0.9011
tr_img_06229,0,0,0.0000
tr_img_06230,3,3,0.8763
tr_img_06231,14,14,0.9013
tr_img_06232,11,11,0.7891
tr_img_06233,5,5,0.8253
tr_img_06234,10,10,0.9151
tr_img_06235,6,6,0.9665
tr_img_06236,4,4,0.9616
tr_img_06237,16,16,0.9537
tr_img_06238,6,6,0.8849
tr_img_06239,4,4,0.9987
tr_img_06240,3,3,0.9999
tr_img_06241,7,7,0.8652
tr_img_06242,1,1,0.9464
tr_img_06243,1,1,0.8957
tr_img_06244,3,3,0.8440
tr_img_06245,10,10,0.9966
tr_img_06246,4,4,0.9375
tr_img_06247,2,2,0.9639
tr_img_06248,11,11,0.9003
tr_img_06249,5,5,0.8935
tr_img_06250,7,7,0.8921
tr_img_06251,13,13,0.9743
tr_img_06252,13,13,0.9742
tr_img_06253,4,4,0.9990
tr_img_06254,4,4,0.7968
tr_img_06255,6,6,0.8999
tr_img_06256,8,8,0.8966
tr_img_06257,1,1,0.7856
tr_img_06258,6,6,0.7156
tr_img_06259,1,1,0.9686
tr_img_06260,35,35,0.9769
tr_img_06261,54,54,0.9149
tr_img_06262,1,1,0.9954
tr_img_06263,4,4,0.7624
tr_img_06264,6,6,0.8757
tr_img_06265,1,1,0.9556
tr_img_06266,2,2,0.8881
tr_img_06267,0,0,0.0000
tr_img_06268,4,4,0.7752
tr_img_06269,4,4,0.9846
tr_img_06270,19,19,0.9534
tr_img_06271,4,4,0.9966
tr_img_06272,4,4,0.8289
tr_img_06273,2,2,0.8662
tr_img_06274,2,2,0.8157
tr_img_06275,7,7,0.9304
tr_img_06276,2,2,0.7288
tr_img_06277,14,14,0.9900
tr_img_06278,12,12,0.9159
tr_img_06279,3,3,0.9460
tr_img_06280,2,2,0.9877
tr_img_06281,4,4,0.9730
tr_img_06282,2,2,0.9625
tr_img_06283,4,4,0.7941
tr_img_06284,3,3,0.9928
tr_img_06285,10,10,0.9432
tr_img_06286,4,4,0.9497
tr_img_06287,2,2,0.8096
tr_img_06288,4,4,0.9724
tr_img_06289,3,3,0.6788
tr_img_06290,10,10,0.9578
tr_img_06291,3,3,0.7489
tr_img_06292,1,1,0.7694
tr_img_06293,19,19,0.9449
tr_img_06294,7,7,0.8494
tr_img_06295,5,5,0.8593
tr_img_06296,0,0,0.0000
tr_img_06297,10,10,0.8693
tr_img_06298,4,4,0.8470
tr_img_06299,11,11,0.9321
tr_img_06300,1,1,0.7130
tr_img_06301,19,19,0.9225
tr_img_06302,2,2,0.9249
tr_img_06303,24,24,0.8426
tr_img_06304,0,0,0.0000
tr_img_06305,1,1,0.5135
tr_img_06306,20,20,0.7071
tr_img_06307,22,22,0.9646
tr_img_06308,23,23,0.8201
tr_img_06309,6,6,0.9640
tr_img_06310,1,1,0.9416
tr_img_06311,2,2,0.7722
tr_img_06312,22,22,0.9116
tr_img_06313,11,11,0.7897
tr_img_06314,18,18,0.8675
tr_img_06315,0,0,0.0000
tr_img_06316,26,26,0.9032
tr_img_06317,2,2,0.9317
tr_img_06318,3,3,0.9308
tr_img_06319,7,7,0.9009
tr_img_06320,41,41,0.8769
tr_img_06321,1,1,0.8398
tr_img_06322,1,1,0.9706
tr_img_06323,2,2,0.8904
tr_img_06324,3,3,0.8171
tr_img_06325,4,4,0.9858
tr_img_06326,33,33,0.8822
tr_img_06327,8,8,0.9820
tr_img_06328,2,2,0.9902
tr_img_06329,4,4,0.9989
tr_img_06330,6,6,0.7962
tr_img_06331,4,4,0.9994
tr_img_06332,16,16,0.9009
tr_img_06333,2,2,0.6653
tr_img_06334,15,15,0.9875
tr_img_06335,1,1,0.8276
tr_img_06336,2,2,0.8856
tr_img_06337,2,2,0.7347
tr_img_06338,4,4,0.9739
tr_img_06339,0,0,0.0000
tr_img_06340,2,2,0.6655
tr_img_06341,1,1,0.9312
tr_img_06342,0,0,0.0000
tr_img_06343,5,5,0.8892
tr_img_06344,0,0,0.0000
tr_img_06345,3,3,0.9203
tr_img_06346,11,11,0.9124
tr_img_06347,9,9,0.7778
tr_img_06348,4,4,0.9827
tr_img_06349,21,21,0.9066
tr_img_06350,6,6,0.9309
tr_img_06351,6,6,0.8169
tr_img_06352,46,46,0.9324
tr_img_06353,12,12,0.9541
tr_img_06354,4,4,0.6440
tr_img_06355,5,5,0.8334
tr_img_06356,16,16,0.8601
tr_img_06357,2,2,0.8089
tr_img_06358,4,4,0.9187
tr_img_06359,1,1,0.8195
tr_img_06360,4,4,0.9993
tr_img_06361,15,15,0.9176
tr_img_06362,4,4,0.9662
tr_img_06363,2,2,0.9983
tr_img_06364,0,0,0.0000
tr_img_06365,4,4,0.9991
tr_img_06366,5,5,0.9472
tr_img_06367,2,2,0.8176
tr_img_06368,1,1,0.7878
tr_img_06369,7,7,0.8948
tr_img_06370,5,5,0.8479
tr_img_06371,2,2,0.9783
tr_img_06372,4,4,0.9968
tr_img_06373,0,0,0.0000
tr_img_06374,5,5,0.9568
tr_img_06375,17,17,0.9481
tr_img_06376,4,4,0.7475
tr_img_06377,4,4,0.9902
tr_img_06378,0,0,0.0000
tr_img_06379,0,0,0.0000
tr_img_06380,3,3,0.9783
tr_img_06381,4,4,0.8866
tr_img_06382,5,5,0.8354
tr_img_06383,2,2,0.9362
tr_img_06384,0,0,0.0000
tr_img_06385,2,2,0.6295
tr_img_06386,3,3,0.7405
tr_img_06387,7,7,0.9257
tr_img_06388,3,3,0.8418
tr_img_06389,9,9,0.9114
tr_img_06390,2,2,0.9109
tr_img_06391,19,19,0.9935
tr_img_06392,11,11,0.9410
tr_img_06393,1,1,0.8649
tr_img_06394,11,11,0.8811
tr_img_06395,5,5,0.8893
tr_img_06396,1,1,0.9981
tr_img_06397,14,14,0.8458
tr_img_06398,1,1,0.6096
tr_img_06399,2,2,0.9788
tr_img_06400,12,12,0.9204
tr_img_06401,2,2,0.6076
tr_img_06402,3,3,0.6717
tr_img_06403,13,13,0.8370
tr_img_06404,19,19,0.9064
tr_img_06405,17,17,0.9265
tr_img_06406,1,1,0.9962
tr_img_06407,10,10,0.9213
tr_img_06408,14,14,0.9043
tr_img_06409,20,20,0.9284
tr_img_06410,15,15,0.9464
tr_img_06411,5,5,0.9044
tr_img_06412,1,1,0.6066
tr_img_06413,0,0,0.0000
tr_img_06414,5,5,0.8684
tr_img_06415,5,5,0.7788
tr_img_06416,3,3,0.8742
tr_img_06417,0,0,0.0000
tr_img_06418,2,2,0.9451
tr_img_06419,13,13,0.9375
tr_img_06420,4,4,0.9484
tr_img_06421,6,6,0.8687
tr_img_06422,3,3,0.9095
tr_img_06423,4,4,0.9913
tr_img_06424,2,2,0.9579
tr_img_06425,11,11,0.9256
tr_img_06426,5,5,0.7198
tr_img_06427,37,37,0.8965
tr_img_06428,5,5,0.8826
tr_img_06429,4,4,0.9953
tr_img_06430,0,0,0.0000
tr_img_06431,8,8,0.7642
tr_img_06432,1,1,0.7320
tr_img_06433,1,1,1.0000
tr_img_06434,2,2,0.9955
tr_img_06435,3,3,0.8651
tr_img_06436,2,2,0.9495
tr_img_06437,3,3,0.6714
tr_img_06438,10,10,0.9908
tr_img_06439,5,5,0.7601
tr_img_06440,6,6,0.9355
tr_img_06441,2,2,0.9559
tr_img_06442,7,7,0.9276
tr_img_06443,6,6,0.9159
tr_img_06444,3,3,0.9034
tr_img_06445,2,2,0.8858
tr_img_06446,17,17,0.9023
tr_img_06447,17,17,0.9330
tr_img_06448,4,4,0.9990
tr_img_06449,4,4,0.9783
tr_img_06450,2,2,0.6769
tr_img_06451,2,2,0.6430
tr_img_06452,8,8,0.7444
tr_img_06453,0,0,0.0000
tr_img_06454,2,2,0.8127
tr_img_06455,2,2,0.9786
tr_img_06456,5,5,0.9310
tr_img_06457,8,8,0.9746
tr_img_06458,2,2,0.8627
tr_img_06459,3,3,0.6754
tr_img_06460,13,13,0.9131
tr_img_06461,1,1,0.6777
tr_img_06462,1,1,0.6447
tr_img_06463,5,5,0.9172
tr_img_06464,18,18,0.9579
tr_img_06465,0,0,0.0000
tr_img_06466,6,6,0.9301
tr_img_06467,4,4,0.9060
tr_img_06468,3,3,0.9294
tr_img_06469,11,11,0.9621
tr_img_06470,6,6,0.9003
tr_img_06471,2,2,0.9754
tr_img_06472,10,10,0.8829
tr_img_06473,5,5,0.6366
tr_img_06474,2,2,0.9564
tr_img_06475,1,1,0.9926
tr_img_06476,7,7,0.7773
tr_img_06477,3,3,0.9940
tr_img_06478,7,7,0.9199
tr_img_06479,2,2,0.6611
tr_img_06480,15,15,0.7549
tr_img_06481,5,5,0.9544
tr_img_06482,17,17,0.9559
tr_img_06483,7,7,0.7901
tr_img_06484,2,2,0.8530
tr_img_06485,3,3,0.9336
tr_img_06486,2,2,0.9358
tr_img_06487,10,10,0.8612
tr_img_06488,21,21,0.9292
tr_img_06489,2,2,0.7858
tr_img_06490,12,12,0.9196
tr_img_06491,0,0,0.0000
tr_img_06492,2,2,0.7265
tr_img_06493,17,17,0.9551
tr_img_06494,4,4,0.8764
tr_img_06495,1,1,0.9897
tr_img_06496,1,1,0.8185
tr_img_06497,1,1,0.7414
tr_img_06498,8,8,0.9931
tr_img_06499,14,14,0.8653
tr_img_06500,5,5,0.8793
tr_img_06501,2,2,0.9834
tr_img_06502,2,2,0.9931
tr_img_06503,20,20,0.9686
tr_img_06504,50,50,0.9823
tr_img_06505,4,4,0.9337
tr_img_06506,12,12,0.8947
tr_img_06507,2,2,0.9283
tr_img_06508,3,3,0.8316
tr_img_06509,94,94,0.9284
tr_img_06510,3,3,0.8461
tr_img_06511,7,7,0.9386
tr_img_06512,2,2,0.8975
tr_img_06513,39,39,0.8541
tr_img_06514,6,6,0.9300
tr_img_06515,12,12,0.8927
tr_img_06516,6,6,0.9003
tr_img_06517,16,16,0.9542
tr_img_06518,2,2,0.9906
tr_img_06519,3,3,0.6522
tr_img_06520,3,3,0.8706
tr_img_06521,4,4,0.9988
tr_img_06522,5,5,0.9451
tr_img_06523,13,13,0.9279
tr_img_06524,6,6,0.9570
tr_img_06525,4,4,0.8767
tr_img_06526,9,9,0.9656
tr_img_06527,2,2,0.9570
tr_img_06528,1,1,0.7709
tr_img_06529,10,10,0.9050
tr_img_06530,23,23,0.8962
tr_img_06531,2,2,0.6300
tr_img_06532,2,2,0.7917
tr_img_06533,3,3,0.9888
tr_img_06534,7,7,0.9687
tr_img_06535,9,9,0.8649
tr_img_06536,12,12,0.9244
tr_img_06537,7,7,0.8915
tr_img_06538,33,33,0.9056
tr_img_06539,9,9,0.9249
tr_img_06540,9,9,0.9545
tr_img_06541,2,2,0.8226
tr_img_06542,6,6,0.8327
tr_img_06543,11,11,0.9100
tr_img_06544,3,3,0.7916
tr_img_06545,1,1,0.6006
tr_img_06546,17,17,0.9370
tr_img_06547,4,4,0.8805
tr_img_06548,1,1,0.7701
tr_img_06549,9,9,0.9065
tr_img_06550,2,2,0.9536
tr_img_06551,1,1,0.8856
tr_img_06552,4,4,0.9591
tr_img_06553,4,4,0.7344
tr_img_06554,34,34,0.8478
tr_img_06555,1,1,0.5730
tr_img_06556,35,35,0.9372
tr_img_06557,10,10,0.8820
tr_img_06558,7,7,0.8407
tr_img_06559,3,3,0.8424
tr_img_06560,2,2,0.5580
tr_img_06561,18,18,0.8585
tr_img_06562,2,2,0.7808
tr_img_06563,13,13,0.9274
tr_img_06564,4,4,0.9067
tr_img_06565,4,4,0.8483
tr_img_06566,8,8,0.8777
tr_img_06567,1,1,0.9787
tr_img_06568,17,17,0.7308
tr_img_06569,1,1,0.9998
tr_img_06570,3,3,0.8760
tr_img_06571,0,0,0.0000
tr_img_06572,17,17,0.9617
tr_img_06573,11,11,0.9247
tr_img_06574,11,11,0.9767
tr_img_06575,3,3,0.9947
tr_img_06576,1,1,0.9136
tr_img_06577,0,0,0.0000
tr_img_06578,4,4,0.8148
tr_img_06579,9,9,0.8928
tr_img_06580,11,11,0.9633
tr_img_06581,4,4,0.9547
tr_img_06582,2,2,0.9667
tr_img_06583,11,11,0.9742
tr_img_06584,4,4,0.9956
tr_img_06585,15,15,0.7396
tr_img_06586,4,4,0.9992
tr_img_06587,9,9,0.7625
tr_img_06588,6,6,0.9807
tr_img_06589,4,4,0.6249
tr_img_06590,7,7,0.8890
tr_img_06591,8,8,0.9633
tr_img_06592,10,10,0.8939
tr_img_06593,7,7,0.9349
tr_img_06594,12,12,0.7141
tr_img_06595,3,3,0.8214
tr_img_06596,6,6,0.8508
tr_img_06597,7,7,0.9886
tr_img_06598,4,4,0.7901
tr_img_06599,4,4,0.9829
tr_img_06600,7,7,0.9788
tr_img_06601,1,1,0.6886
tr_img_06602,6,6,0.9202
tr_img_06603,3,3,0.8063
tr_img_06604,11,11,0.9592
tr_img_06605,2,2,0.8756
tr_img_06606,4,4,0.8568
tr_img_06607,1,1,0.7543
tr_img_06608,1,1,0.5755
tr_img_06609,2,2,0.9059
tr_img_06610,20,20,0.9398
tr_img_06611,4,4,0.9993
tr_img_06612,1,1,0.6524
tr_img_06613,14,14,0.7802
tr_img_06614,3,3,0.9778
tr_img_06615,4,4,0.9996
tr_img_06616,3,3,0.9008
tr_img_06617,2,2,0.8990
tr_img_06618,44,44,0.9645
tr_img_06619,4,4,0.9189
tr_img_06620,5,5,0.9579
tr_img_06621,45,45,0.9691
tr_img_06622,1,1,0.9961
tr_img_06623,1,1,0.7769
tr_img_06624,5,5,0.9531
tr_img_06625,0,0,0.0000
tr_img_06626,5,5,0.8250
tr_img_06627,6,6,0.9374
tr_img_06628,6,6,0.9640
tr_img_06629,6,6,0.9052
tr_img_06630,3,3,0.9289
tr_img_06631,1,1,0.9960
tr_img_06632,1,1,0.7312
tr_img_06633,6,6,0.8053
tr_img_06634,16,16,0.9169
tr_img_06635,0,0,0.0000
tr_img_06636,8,8,0.9216
tr_img_06637,7,7,0.8480
tr_img_06638,3,3,0.8241
tr_img_06639,7,7,0.9760
tr_img_06640,1,1,0.6307
tr_img_06641,3,3,0.8429
tr_img_06642,7,7,0.8739
tr_img_06643,1,1,0.7308
tr_img_06644,7,7,0.8313
tr_img_06645,4,4,0.9503
tr_img_06646,2,2,0.9194
tr_img_06647,2,2,0.8749
tr_img_06648,16,16,0.9450
tr_img_06649,4,4,0.9924
tr_img_06650,3,3,0.6744
tr_img_06651,0,0,0.0000
tr_img_06652,0,0,0.0000
tr_img_06653,4,4,0.9026
tr_img_06654,3,3,0.9474
tr_img_06655,2,2,0.8717
tr_img_06656,4,4,0.9776
tr_img_06657,3,3,0.8910
tr_img_06658,2,2,0.9132
tr_img_06659,5,5,0.9174
tr_img_06660,2,2,0.9562
tr_img_06661,4,4,0.9765
tr_img_06662,2,2,0.9322
tr_img_06663,6,6,0.9300
tr_img_06664,10,10,0.9178
tr_img_06665,2,2,0.9101
tr_img_06666,8,8,0.9594
tr_img_06667,2,2,0.6825
tr_img_06668,15,15,0.9517
tr_img_06669,4,4,0.9969
tr_img_06670,11,11,0.6122
tr_img_06671,6,6,0.8286
tr_img_06672,0,0,0.0000
tr_img_06673,0,0,0.0000
tr_img_06674,3,3,0.8492
tr_img_06675,9,9,0.9360
tr_img_06676,2,2,0.7759
tr_img_06677,2,2,0.7744
tr_img_06678,6,6,0.7438
tr_img_06679,4,4,0.8272
tr_img_06680,5,5,0.9797
tr_img_06681,1,1,1.0000
tr_img_06682,1,1,0.8252
tr_img_06683,26,26,0.9852
tr_img_06684,1,1,0.7683
tr_img_06685,4,4,0.9927
tr_img_06686,4,4,0.7281
tr_img_06687,6,6,0.9624
tr_img_06688,2,2,0.9951
tr_img_06689,1,1,0.6317
tr_img_06690,3,3,0.6807
tr_img_06691,1,1,0.9088
tr_img_06692,5,5,0.8205
tr_img_06693,0,0,0.0000
tr_img_06694,3,3,0.8886
tr_img_06695,3,3,0.8391
tr_img_06696,13,13,0.8826
tr_img_06697,3,3,0.9742
tr_img_06698,4,4,0.8271
tr_img_06699,3,3,0.7039
tr_img_06700,8,8,0.9461
tr_img_06701,0,0,0.0000
tr_img_06702,59,59,0.9307
tr_img_06703,36,36,0.9923
tr_img_06704,4,4,0.9771
tr_img_06705,3,3,0.7083
tr_img_06706,5,5,0.8174
tr_img_06707,5,5,0.8655
tr_img_06708,5,5,0.9114
tr_img_06709,7,7,0.9575
tr_img_06710,10,10,0.9420
tr_img_06711,1,1,0.6728
tr_img_06712,5,5,0.7053
tr_img_06713,4,4,0.9937
tr_img_06714,16,16,0.9170
tr_img_06715,2,2,0.9471
tr_img_06716,8,8,0.9419
tr_img_06717,4,4,0.9378
tr_img_06718,1,1,0.5135
tr_img_06719,4,4,0.8697
tr_img_06720,4,4,0.9320
tr_img_06721,1,1,0.7445
tr_img_06722,3,3,0.8307
tr_img_06723,4,4,0.9137
tr_img_06724,4,4,0.9995
tr_img_06725,15,15,0.9957
tr_img_06726,0,0,0.0000
tr_img_06727,18,18,0.8664
tr_img_06728,10,10,0.9643
tr_img_06729,4,4,0.9372
tr_img_06730,16,16,0.8880
tr_img_06731,2,2,0.9662
tr_img_06732,3,3,0.9988
tr_img_06733,12,12,0.9558
tr_img_06734,1,1,0.5280
tr_img_06735,0,0,0.0000
tr_img_06736,25,25,0.8050
tr_img_06737,2,2,0.7541
tr_img_06738,0,0,0.0000
tr_img_06739,3,3,0.7887
tr_img_06740,13,13,0.8534
tr_img_06741,20,20,0.9484
tr_img_06742,2,2,0.9968
tr_img_06743,22,22,0.9546
tr_img_06744,10,10,0.8935
